No,Nim,Jenis_Kelamin,IPS1,IPS2,IPS3,IPS4,IPS5,IPK,Status
1,1010510001,L,2.55,2.52,2.87,2.93,2.99,3.02,TIDAK TEPAT WAKTU
2,1010510002,P,3.16,3.1,3.27,3.29,3.33,3.35,TEPAT WAKTU
3,1010510003,L,2.01,2.12,2.22,2.4,2.51,2.64,TIDAK TEPAT WAKTU
4,1010510006,L,1.62,1.7,1.86,2.01,2.14,2.41,TIDAK TEPAT WAKTU
5,1010510011,L,2.94,2.86,3.04,3.17,3.19,3.2,TIDAK TEPAT WAKTU
6,1010510016,L,2.33,2.25,2.3,2.39,2.47,2.54,TIDAK TEPAT WAKTU
7,1010510019,L,2.63,2.73,2.77,2.91,2.97,3.03,TEPAT WAKTU
8,1010510020,L,2.44,2.54,2.6,2.52,2.54,2.68,TIDAK TEPAT WAKTU
9,1010510021,L,2.34,2.36,2.53,2.59,2.69,2.76,TIDAK TEPAT WAKTU
10,1010510022,P,3.14,3.13,3.15,3.16,3.17,3.18,TIDAK TEPAT WAKTU
11,1010510026,L,2.7,2.8,2.82,2.93,2.96,2.97,TIDAK TEPAT WAKTU
12,1010510028,L,2.07,2,2.09,2.23,2.31,2.56,TIDAK TEPAT WAKTU
13,1010510029,L,2.53,2.39,2.55,2.53,2.5,2.48,TIDAK TEPAT WAKTU
14,1010510030,L,2.83,2.71,2.91,2.98,3.04,3.03,TIDAK TEPAT WAKTU
15,1010510031,L,3.1,3.04,3.16,3.21,3.22,3.26,TIDAK TEPAT WAKTU
16,1010510039,P,3.03,2.88,3.03,3.1,3.15,3.16,TEPAT WAKTU
17,1010510043,P,3.05,3.09,3.16,3.22,2.32,3.26,TEPAT WAKTU
18,1010510045,P,3.09,2.95,3.2,3.21,3.23,3.26,TEPAT WAKTU
19,1010510047,L,2.89,2.83,3,3.01,3.06,3.08,TIDAK TEPAT WAKTU
20,1010510052,L,2.47,2.49,2.63,2.66,2.71,2.67,TIDAK TEPAT WAKTU
21,1010510053,L,2.49,2.31,2.22,2.34,2.43,2.49,TIDAK TEPAT WAKTU
22,1010510056,L,2.73,2.58,2.63,2.62,2.64,2.71,TIDAK TEPAT WAKTU
23,1010510058,L,3.15,3.27,3.35,3.36,3.36,3.4,TIDAK TEPAT WAKTU
24,1010510059,L,1.63,2.73,2.8,2.83,2.87,2.96,TIDAK TEPAT WAKTU
25,1010510062,P,2.67,2.85,2.93,2.96,2.98,3.03,TIDAK TEPAT WAKTU
26,1010510063,L,2.63,2.59,2.75,2.79,2.81,2.96,TEPAT WAKTU
27,1010510065,L,3.63,3.6,3.58,3.6,3.61,3.61,TIDAK TEPAT WAKTU
28,1010510066,L,2.05,1.9,1.98,2.23,2.42,2.56,TEPAT WAKTU
29,1010510074,L,,2.4,2.54,2.49,2.55,2.7,TIDAK TEPAT WAKTU
30,1010510076,L,2.41,2.46,2.68,2.83,2.89,2.99,TIDAK TEPAT WAKTU
31,1010510079,L,2.34,2.48,2.71,2.82,2.89,2.94,TIDAK TEPAT WAKTU
32,1010510080,L,2.47,2.34,2.47,2.5,2.59,2.69,TIDAK TEPAT WAKTU
33,1010510083,L,2.5,2.39,2.49,3.05,2.6,2.71,TIDAK TEPAT WAKTU
34,1010510085,L,2.62,2.46,2.64,2.68,2.75,2.89,TIDAK TEPAT WAKTU
35,1010510086,P,3.32,3.16,3.23,3.28,3.31,3.35,TIDAK TEPAT WAKTU
36,1010510087,P,3.02,3.02,3.07,3.12,3.1,3.15,TIDAK TEPAT WAKTU
37,1010510088,P,2.75,2.63,2.7,3.28,2.86,2.91,TIDAK TEPAT WAKTU
38,1010510102,L,2.05,2.47,2.59,2.71,2.83,2.85,TIDAK TEPAT WAKTU
39,1010510104,L,2.88,2.78,2.93,2.96,3.63,3.09,TIDAK TEPAT WAKTU
40,1010510106,L,2.45,2.33,2.42,2.37,2.42,2.48,TIDAK TEPAT WAKTU
41,1010510109,L,2.51,2.64,2.82,2.78,2.86,3.01,TIDAK TEPAT WAKTU
42,1010510110,L,2.34,2.29,2.36,2.39,2.46,2.56,TIDAK TEPAT WAKTU
43,1010520120,L,2.59,2.62,2.68,2.66,2.71,2.81,TIDAK TEPAT WAKTU
44,1010520127,L,3.15,3.22,3.15,3.17,3.19,2.29,TIDAK TEPAT WAKTU
45,1010520130,L,2.37,2.42,2.48,3.11,2.66,2.84,TIDAK TEPAT WAKTU
46,1010520131,P,2.43,2.37,2.41,2.51,2.58,2.62,TIDAK TEPAT WAKTU
47,1010520132,L,2.21,2.11,2.19,2.15,2.31,2.32,TIDAK TEPAT WAKTU
48,1010520133,P,2.6,2.57,2.71,2.78,2.82,2.97,TIDAK TEPAT WAKTU
49,1010520134,L,2.63,2.66,3.76,2.7,2.67,2.74,TIDAK TEPAT WAKTU
50,1010520138,L,2.56,2.64,2.52,2.51,2.39,2.22,TIDAK TEPAT WAKTU
51,1010520139,L,3.07,2.97,3.12,3.16,3.21,3.21,TEPAT WAKTU
52,1010520145,L,2.31,2.31,2.48,,,,TIDAK TEPAT WAKTU
53,1010520148,L,3.05,2.96,3.05,,,,TIDAK TEPAT WAKTU
54,1010520151,P,2.9,2.98,2.97,,,,TIDAK TEPAT WAKTU
55,1010520158,L,2.73,2.94,2.98,,,,TIDAK TEPAT WAKTU
56,1010520163,L,2.47,2.55,2.68,2.93,2.95,2.92,TIDAK TEPAT WAKTU
57,1010520166,L,2.52,2.6,2.59,,,,TIDAK TEPAT WAKTU
58,1010520167,L,3.08,3.16,3.11,2.47,2.49,2.61,TIDAK TEPAT WAKTU
59,1010520172,L,3.05,3.04,3.08,3.2,3.2,3.19,TIDAK TEPAT WAKTU
60,1010520173,L,3.43,3.32,3.43,,,,TEPAT WAKTU
61,1010520179,L,2.06,2.22,2.35,1.47,1.49,1.59,TIDAK TEPAT WAKTU
62,1010520180,L,2.64,2.57,2.62,,,,TIDAK TEPAT WAKTU
63,1010520183,L,2.57,2.76,2.84,,,,TEPAT WAKTU
64,1010520186,P,3.4,3.34,3.38,2.46,2.46,2.66,TEPAT WAKTU
65,1010520199,L,2.64,2.7,2.86,,,,TIDAK TEPAT WAKTU
66,1010530203,L,3.3,3.23,3.31,,,,TIDAK TEPAT WAKTU
67,1010530204,L,2.05,2.31,2.47,2.91,2.92,2.94,TIDAK TEPAT WAKTU
68,1010530206,L,2.61,2.75,2.85,,,,TIDAK TEPAT WAKTU
69,1010530207,L,2.17,2.41,2.58,,,,TIDAK TEPAT WAKTU
70,1010530208,L,2.51,2.63,2.79,3.27,3.29,3.31,TIDAK TEPAT WAKTU
71,1010530209,L,2.45,2.44,2.57,2.5,2.5,2.65,TIDAK TEPAT WAKTU
72,1010530212,P,3.24,3.28,3.24,2.61,2.66,2.72,TEPAT WAKTU
73,1010530213,P,2.55,2.68,2.62,2.88,2.9,3.01,TIDAK TEPAT WAKTU
74,1010530220,L,2.75,2.76,2.78,,,,TIDAK TEPAT WAKTU
75,1010530221,P,3.13,3.05,3.14,,,,TIDAK TEPAT WAKTU
76,1010530223,P,2.44,1.71,1.39,,,,TIDAK TEPAT WAKTU
77,1010530227,P,3.01,2.88,2.92,3.18,3.18,3.27,TIDAK TEPAT WAKTU
78,1010530229,L,2.35,2.36,2.45,,,,TIDAK TEPAT WAKTU
79,1010530234,P,2.91,3.1,3.03,2.45,2.48,2.61,TEPAT WAKTU
80,1010530240,P,2.4,2.44,2.54,3.16,3.17,3.27,TIDAK TEPAT WAKTU
81,1010530241,L,2.25,2.21,2.25,,,,TIDAK TEPAT WAKTU
82,1010530243,L,1.93,2.11,2.2,1.47,1.4,1.25,TIDAK TEPAT WAKTU
83,1010530245,L,2.24,2.25,2.45,2.7,2.71,2.77,TIDAK TEPAT WAKTU
84,1010530247,P,2.26,2.26,2.44,,,,TIDAK TEPAT WAKTU
85,1010530248,L,2.71,2.66,2.79,2.37,2.39,2.53,TIDAK TEPAT WAKTU
86,1010530252,L,2.48,2.57,2.49,2.54,2.6,2.78,TIDAK TEPAT WAKTU
87,1010530253,L,2,2.07,2.17,2.85,2.88,2.96,TIDAK TEPAT WAKTU
88,1010530254,L,3.1,3.16,3.23,1.89,2.08,2.26,TEPAT WAKTU
89,1010530257,L,2.55,2.51,2.44,2.69,2.69,2.73,TIDAK TEPAT WAKTU
90,1010530263,L,2.34,2.32,2.26,,,,TIDAK TEPAT WAKTU
91,1010530267,L,2.59,2.59,2.68,1.32,1.52,1.77,TIDAK TEPAT WAKTU
92,1010530270,L,2.83,2.63,2.75,,,,TIDAK TEPAT WAKTU
93,1010530272,L,2.32,2.41,2.45,2.77,2.78,2.83,TIDAK TEPAT WAKTU
94,1010530278,L,2.45,2.41,2.35,,,,TIDAK TEPAT WAKTU
95,1010530286,L,2.07,2.23,2.36,,,,TIDAK TEPAT WAKTU
96,1010530287,P,2.54,2.49,2.46,,,,TEPAT WAKTU
97,1010530288,L,2.04,2.24,2.34,,,,TIDAK TEPAT WAKTU
98,1010530289,L,2.25,2.46,2.61,,,,TIDAK TEPAT WAKTU
99,1010530290,L,2.39,2.48,2.38,,,,TIDAK TEPAT WAKTU
100,1010530291,L,2.15,2.37,2.39,2.52,2.57,2.68,TIDAK TEPAT WAKTU
101,1010530292,L,3.14,3.12,3.11,2.58,2.61,2.75,TEPAT WAKTU
102,1010530293,L,2.52,2.61,2.7,2.33,2.33,2.56,TIDAK TEPAT WAKTU
103,1010530294,P,2.06,2.42,2.42,2.63,2.63,2.66,TIDAK TEPAT WAKTU
104,1010530295,P,3.14,3.1,3.18,2.46,2.52,2.5,TEPAT WAKTU
105,1010530296,P,2.38,2.49,2.51,2.44,2.46,2.69,TIDAK TEPAT WAKTU
106,1010530300,L,,,,3.23,3.24,3.26,TEPAT WAKTU
107,910510001,P,1.56,1.6,1.69,1.78,1.76,1.68,TIDAK TEPAT WAKTU
108,910510002,L,,,,,,,TIDAK TEPAT WAKTU
109,910510003,P,1.38,1.16,,,,,TIDAK TEPAT WAKTU
110,910510016,L,3.35,3.47,3.46,3.46,3.46,,TEPAT WAKTU
111,910510017,P,,,,,,,TIDAK TEPAT WAKTU
112,910520019,L,2.07,2.22,2.28,2.4,2.32,2.32,TIDAK TEPAT WAKTU
113,910520020,L,,,,,,,TIDAK TEPAT WAKTU
114,910520023,L,,,,,,,TIDAK TEPAT WAKTU
115,910520024,L,,,,,,,TIDAK TEPAT WAKTU
116,910520027,L,,,,,,,TIDAK TEPAT WAKTU
117,910520030,L,2.93,2.95,2.96,3.03,3.03,3.05,TIDAK TEPAT WAKTU
118,910520033,L,2.48,2.6,2.61,2.74,2.72,2.76,TIDAK TEPAT WAKTU
119,910520037,L,2.16,2.35,2.24,2.42,2.5,2.63,TIDAK TEPAT WAKTU
120,910520038,L,3.34,3.37,3.32,3.28,3.28,3.34,TIDAK TEPAT WAKTU
121,910520047,L,2.9,2.97,2.96,2.99,2.99,2.99,TIDAK TEPAT WAKTU
122,910520048,L,,,,,,,TIDAK TEPAT WAKTU
123,910520049,L,,,,,,,TIDAK TEPAT WAKTU
124,910520053,L,2.36,2.59,2.62,2.75,2.75,2.85,TIDAK TEPAT WAKTU
125,910520056,P,,,,,,,TIDAK TEPAT WAKTU
126,910520057,L,,,,,,,TIDAK TEPAT WAKTU
127,910520058,L,2.8,2.94,2.94,3.06,3.06,3.05,TIDAK TEPAT WAKTU
128,910520060,L,,,,,,,TIDAK TEPAT WAKTU
129,910520062,L,2.93,3.04,3.05,3.09,3.09,3.06,TIDAK TEPAT WAKTU
130,910520065,L,3.14,3.18,3.16,3.18,3.18,3.17,TIDAK TEPAT WAKTU
131,910520066,L,,,,,,,TEPAT WAKTU
132,910520067,L,2.8,2.88,2.83,2.89,2.89,3,TIDAK TEPAT WAKTU
133,910520070,L,3.05,3.08,3.08,3.14,3.14,3.13,TIDAK TEPAT WAKTU
134,910530074,P,,,,,,,TIDAK TEPAT WAKTU
